place_index,address,price_range
0,"102 Đ. Phan Huy Ích, Phường 15, Tân Bình, Hồ Chí Minh",100-200 N ₫/người
1,"412 Đ. Nguyễn Văn Quá, Khu Phố 4, Quận 12, Hồ Chí Minh 700000",
2,"TTTM Pandora, 1/1 Đ. Trường Chinh, Tây Thạnh, Tân Phú, Hồ Chí Minh 700000",1-200.000 ₫/người
3,"76 Hẻm 78 Tân Sơn Nhì, P. Phú Thuận, Tân Phú, Hồ Chí Minh 700000",100-200 N ₫/người
4,"30 Đ. Tân Thắng, Celadon City, Tân Phú, Hồ Chí Minh 700000",1-100.000 ₫/người
5,"84 Đường Đ. Phạm Văn Chiêu, Phường 8, Gò Vấp, Hồ Chí Minh",100-200 N ₫/người
6,"685 Đ. Âu Cơ, Tân Thành, Tân Phú, Hồ Chí Minh 700000",200-300 N ₫/người
7,"143 Đồng Đen, Phường 11, Tân Bình, Hồ Chí Minh",100-200 N ₫/người
8,"15-17 Đ. Cộng Hòa, Phường 4, Tân Bình, Hồ Chí Minh",100-200 N ₫/người
9,"756 Đ. Tân Kỳ Tân Quý, Bình Hưng Hoà, Bình Tân, Hồ Chí Minh",100-200 N ₫/người
10,"167/2 Đ. Nguyễn Ảnh Thủ, Trung Mỹ Tây, Quận 12, Hồ Chí Minh 700000",1-100.000 ₫/người
11,"451 Đ. Thống Nhất, P.11, Gò Vấp, Hồ Chí Minh 700000",100-200 N ₫/người
12,"Nguyễn Sơn, Phú Thạnh, Tân Phú, Hồ Chí Minh",100-200 N ₫/người
13,"190 Đ. Quang Trung, Phường 10, Gò Vấp, Hồ Chí Minh",1-200.000 ₫/người
14,"446 Đ. Lý Thường Kiệt, Phường 7, Tân Bình, Hồ Chí Minh",1-100.000 ₫/người
15,"1-3 Đ. Ngô Gia Tự, Phường 2, Quận 10, Hồ Chí Minh 700000",100-200 N ₫/người
16,"446 Đ. Lý Thường Kiệt, Phường 7, Tân Bình, Hồ Chí Minh",1-100.000 ₫/người
17,"48-50 Cần Giuộc, Phường Xóm Củi, Quận 8, Hồ Chí Minh 700000",100-200 N ₫/người
